Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby916a_3_1_ax_MNI.img	Telencephalon_L	650547	4.8241	125.2344	75.1537	24.4902	
kirby916a_3_1_ax_MNI.img	Telencephalon_R	667278	6.8590	123.7753	75.1208	24.4239	
kirby916a_3_1_ax_MNI.img	Diencephalon_L	11234	31.9307	124.7578	91.6583	11.2931	
kirby916a_3_1_ax_MNI.img	Diencephalon_R	11417	38.2006	126.9987	90.8670	11.3094	
kirby916a_3_1_ax_MNI.img	Mesencephalon	13309	53.3790	128.3723	105.3500	9.2420	
kirby916a_3_1_ax_MNI.img	Metencephalon	207590	11.0442	131.7175	73.3335	22.0332	
kirby916a_3_1_ax_MNI.img	Myelencephalon	5061	35.9182	122.9146	100.2648	12.9331	
kirby916a_3_1_ax_MNI.img	CSF	92080	0.3467	97.9891	27.2447	12.9477	



Type1-L2 Statistics

kirby916a_3_1_ax_MNI.img	CerebralCortex_L	345752	4.8241	109.4086	55.1307	12.7285	
kirby916a_3_1_ax_MNI.img	CerebralCortex_R	352392	6.8590	110.9288	55.0050	12.4825	
kirby916a_3_1_ax_MNI.img	CerebralNucli_L	16674	40.2537	122.0330	82.4534	12.4472	
kirby916a_3_1_ax_MNI.img	CerebralNucli_R	17239	40.8017	123.7753	81.8699	13.0582	
kirby916a_3_1_ax_MNI.img	Thalamus_L	7591	45.6348	117.4536	92.2930	9.1357	
kirby916a_3_1_ax_MNI.img	Thalamus_R	7893	45.6527	112.8803	91.4726	9.7762	
kirby916a_3_1_ax_MNI.img	BasalForebrain_L	3643	31.9307	124.7578	90.3357	14.7235	
kirby916a_3_1_ax_MNI.img	BasalForebrain_R	3524	38.2006	126.9987	89.5106	14.0587	
kirby916a_3_1_ax_MNI.img	Mesencephalon_L	6630	59.3711	128.1235	105.8527	8.9229	
kirby916a_3_1_ax_MNI.img	Mesencephalon_R	6679	53.3790	128.3723	104.8510	9.5219	
kirby916a_3_1_ax_MNI.img	Metencephalon_R	104080	11.0442	131.7175	73.3998	22.0780	
kirby916a_3_1_ax_MNI.img	Metencephalon_L	103510	12.2685	129.7664	73.2669	21.9877	
kirby916a_3_1_ax_MNI.img	Myelencephalon_L	2356	36.4243	122.9146	99.9609	13.3363	
kirby916a_3_1_ax_MNI.img	Myelencephalon_R	2705	35.9182	120.5334	100.5295	12.5653	
kirby916a_3_1_ax_MNI.img	WhiteMatter_L	288121	28.5399	125.2344	98.7593	10.4598	
kirby916a_3_1_ax_MNI.img	WhiteMatter_R	297647	22.4528	122.6486	98.5455	10.6089	
kirby916a_3_1_ax_MNI.img	Ventricle	19317	1.7435	97.9891	33.8945	19.0655	
kirby916a_3_1_ax_MNI.img	Sulcus_L	38013	0.3467	72.3225	25.6173	10.2428	
kirby916a_3_1_ax_MNI.img	Sulcus_R	34750	1.1253	58.5394	25.3284	9.8103	



Type1-L3 Statistics

kirby916a_3_1_ax_MNI.img	Frontal_L	110525	6.4875	103.9014	52.9605	12.6310	
kirby916a_3_1_ax_MNI.img	Frontal_R	110122	7.9939	99.9555	53.3362	12.0697	
kirby916a_3_1_ax_MNI.img	Parietal_L	58427	8.0122	98.0047	52.9913	13.3174	
kirby916a_3_1_ax_MNI.img	Parietal_R	59105	8.3672	97.1373	52.4600	13.0933	
kirby916a_3_1_ax_MNI.img	Temporal_L	85744	4.8241	98.7969	55.0017	11.2730	
kirby916a_3_1_ax_MNI.img	Temporal_R	80521	6.8590	98.0835	55.8504	11.1558	
kirby916a_3_1_ax_MNI.img	Limbic_L	37791	6.9403	109.4086	61.4663	12.0936	
kirby916a_3_1_ax_MNI.img	Limbic_R	44315	11.1992	110.9288	60.1065	12.4461	
kirby916a_3_1_ax_MNI.img	Occipital_L	46014	6.2725	101.5865	58.2582	13.5452	
kirby916a_3_1_ax_MNI.img	Occipital_R	50172	7.5074	100.7242	55.7614	13.4168	
kirby916a_3_1_ax_MNI.img	Insula_L	9488	13.6380	95.5684	58.2798	10.2891	
kirby916a_3_1_ax_MNI.img	Insula_R	10894	12.0380	96.7422	59.3155	11.8798	
kirby916a_3_1_ax_MNI.img	BasalGang_L	14437	40.2537	122.0330	84.1029	12.3813	
kirby916a_3_1_ax_MNI.img	BasalGang_R	14502	40.8017	123.7753	83.8462	13.0375	
kirby916a_3_1_ax_MNI.img	Thalamus_L	7591	45.6348	117.4536	92.2930	9.1357	
