Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby127b_3_1_ax.img	Telencephalon_L	532635	0.0000e+00	353.0000	131.5637	52.3005	
kirby127b_3_1_ax.img	Telencephalon_R	543525	0.0000e+00	302.0000	138.7450	54.1101	
kirby127b_3_1_ax.img	Diencephalon_L	9754	44.0000	301.0000	198.9246	31.1522	
kirby127b_3_1_ax.img	Diencephalon_R	9774	54.0000	328.0000	201.7028	32.6864	
kirby127b_3_1_ax.img	Mesencephalon	10535	82.0000	329.0000	237.4406	28.1756	
kirby127b_3_1_ax.img	Metencephalon	160246	1.0000	297.0000	140.9670	53.0817	
kirby127b_3_1_ax.img	Myelencephalon	4840	7.0000	267.0000	206.0461	35.0068	
kirby127b_3_1_ax.img	CSF	108711	0.0000e+00	250.0000	36.2298	27.1805	



Type1-L2 Statistics

kirby127b_3_1_ax.img	CerebralCortex_L	279135	0.0000e+00	292.0000	91.8300	28.4187	
kirby127b_3_1_ax.img	CerebralCortex_R	285165	0.0000e+00	280.0000	97.4501	28.9301	
kirby127b_3_1_ax.img	CerebralNucli_L	12327	16.0000	279.0000	169.6114	29.1399	
kirby127b_3_1_ax.img	CerebralNucli_R	12881	39.0000	288.0000	175.1229	30.2396	
kirby127b_3_1_ax.img	Thalamus_L	6473	65.0000	271.0000	197.6120	22.4848	
kirby127b_3_1_ax.img	Thalamus_R	6624	54.0000	267.0000	201.7431	26.0822	
kirby127b_3_1_ax.img	BasalForebrain_L	3281	44.0000	301.0000	201.5143	43.3309	
kirby127b_3_1_ax.img	BasalForebrain_R	3150	57.0000	328.0000	201.6179	43.4114	
kirby127b_3_1_ax.img	Mesencephalon_L	5196	84.0000	299.0000	234.6226	26.7128	
kirby127b_3_1_ax.img	Mesencephalon_R	5339	82.0000	329.0000	240.1832	29.2704	
kirby127b_3_1_ax.img	Metencephalon_R	80031	1.0000	297.0000	147.9818	53.4435	
kirby127b_3_1_ax.img	Metencephalon_L	80216	2.0000	290.0000	133.9684	51.7798	
kirby127b_3_1_ax.img	Myelencephalon_L	2331	7.0000	267.0000	201.6267	38.6483	
kirby127b_3_1_ax.img	Myelencephalon_R	2510	40.0000	264.0000	210.1506	30.6821	
kirby127b_3_1_ax.img	WhiteMatter_L	241174	9.0000	353.0000	175.6068	34.9549	
kirby127b_3_1_ax.img	WhiteMatter_R	245480	14.0000	302.0000	184.8070	35.9227	
kirby127b_3_1_ax.img	Ventricle	45574	0.0000e+00	250.0000	40.6008	35.1431	
kirby127b_3_1_ax.img	Sulcus_L	33639	0.0000e+00	122.0000	32.6724	18.3009	
kirby127b_3_1_ax.img	Sulcus_R	29499	0.0000e+00	161.0000	33.5335	19.5295	



Type1-L3 Statistics

kirby127b_3_1_ax.img	Frontal_L	99364	1.0000	235.0000	88.1260	26.7345	
kirby127b_3_1_ax.img	Frontal_R	99284	3.0000	237.0000	90.5264	25.2894	
kirby127b_3_1_ax.img	Parietal_L	41972	2.0000	168.0000	80.1349	22.8493	
kirby127b_3_1_ax.img	Parietal_R	47943	1.0000	205.0000	86.3029	24.4647	
kirby127b_3_1_ax.img	Temporal_L	63947	0.0000e+00	203.0000	93.9258	25.3646	
kirby127b_3_1_ax.img	Temporal_R	63045	2.0000	221.0000	105.7633	26.6819	
kirby127b_3_1_ax.img	Limbic_L	31169	8.0000	292.0000	119.4572	32.1938	
kirby127b_3_1_ax.img	Limbic_R	35025	4.0000	280.0000	120.2515	33.8901	
kirby127b_3_1_ax.img	Occipital_L	37289	1.0000	194.0000	87.9746	27.4642	
kirby127b_3_1_ax.img	Occipital_R	34946	0.0000e+00	207.0000	95.0103	29.4304	
kirby127b_3_1_ax.img	Insula_L	7419	1.0000	195.0000	107.2975	23.2051	
kirby127b_3_1_ax.img	Insula_R	7336	10.0000	231.0000	114.1940	24.9307	
kirby127b_3_1_ax.img	BasalGang_L	10304	29.0000	279.0000	174.4807	28.0254	
kirby127b_3_1_ax.img	BasalGang_R	10470	39.0000	288.0000	179.7850	30.1320	
kirby127b_3_1_ax.img	Thalamus_L	6473	65.0000	271.0000	197.6120	22.4848	
kirby127b_3_1_ax.img	Thalamus_R	6624	54.0000	267.0000	201.7431	26.0822	
kirby127b_3_1_ax.img	BasalForebrain_L	3281	44.0000	301.0000	201.5143	43.3309	
kirby127b_3_1_ax.img	BasalForebrain_R	3150	57.0000	328.0000	201.6179	43.4114	
