	 SFG_L 	 SFG_R 	 SFG_PFC_L 	 SFG_PFC_R 	 SFG_pole_L 	 SFG_pole_R 	 MFG_L 	 MFG_R 	 MFG_DPFC_L 	 MFG_DPFC_R 	 IFG_opercularis_L 	 IFG_opercularis_R 	 IFG_orbitalis_L 	 IFG_orbitalis_R 	 IFG_triangularis_L 	 IFG_triangularis_R 	 LFOG_L 	 LFOG_R 	 MFOG_L 	 MFOG_R 	 RG_L 	 RG_R 	 PoCG_L 	 PoCG_R 	 PrCG_L 	 PrCG_R 	 SPG_L 	 SPG_R 	 SMG_L 	 SMG_R 	 AG_L 	 AG_R 	 PrCu_L 	 PrCu_R 	 STG_L 	 STG_R 	 STG_L_pole 	 STG_R_pole 	 MTG_L 	 MTG_R 	 MTG_L_pole 	 MTG_R_pole 	 ITG_L 	 ITG_R 	 FuG_L 	 FuG_R 	 SOG_L 	 SOG_R 	 MOG_L 	 MOG_R 	 IOG_L 	 IOG_R 	 Cu_L 	 Cu_R 	 LG_L 	 LG_R 	 rostral_ACC_L 	 rostral_ACC_R 	 subcallosal_ACC_L 	 subcallosal_ACC_R 	 subgenual_ACC_L 	 subgenual_ACC_R 	 dorsal_ACC_L 	 dorsal_ACC_R 	 PCC_L 	 PCC_R 	 Insula_L 	 Insula_R 	 CerebellumGM_L 	 CerebellumGM_R 	 Caud_L 	 Caud_R 	 Put_L 	 Put_R 	 GP_L 	 GP_R 	 Thalamus_L 	 Thalamus_R 	
 SFG_L 	1	0.71561	0.60952	0.57566	0.50548	0.41801	0.73417	0.57027	0.64703	0.51996	0.53872	0.49973	0.42529	0.40444	0.35751	0.39852	0.38341	0.43371	0.1907	0.41556	0.3379	0.32312	0.086935	0.17545	0.32201	0.36975	0.62267	0.54391	0.43074	0.21677	0.46205	0.4461	0.61151	0.53804	0.28614	0.22966	0.40848	0.37874	0.51726	0.58284	0.20976	0.50795	0.65755	0.66437	0.34913	0.31741	0.31095	0.19208	0.52072	0.22847	0.16505	0.2239	0.43656	0.35986	0.38911	0.35561	0.52474	0.44191	0.15547	0.21686	0.40438	0.16402	0.47243	0.43133	0.31421	0.31692	0.32705	0.38002	0.67675	0.75404	0.62991	0.58682	0.50725	0.41952	0.51102	0.38832	0.36964	0.3162	
 SFG_R 	0.71561	1	0.35401	0.50137	0.20774	0.22177	0.52376	0.58685	0.59857	0.64973	0.38962	0.61448	0.30299	0.55247	0.31491	0.48123	0.24594	0.54552	-0.021882	0.29335	0.093016	0.18311	0.059891	0.097219	0.27154	0.56004	0.55772	0.63027	0.53899	0.54185	0.25322	0.44646	0.45725	0.65663	0.43556	0.3638	0.48892	0.5533	0.37935	0.53785	0.094698	0.43231	0.39007	0.55882	0.26505	0.3245	0.32699	0.21949	0.38875	0.20818	0.1493	0.15131	0.37612	0.29288	0.34239	0.33242	0.36625	0.37862	0.04579	0.15219	0.3396	0.068773	0.68834	0.73711	0.041913	0.25173	0.44017	0.68378	0.74136	0.69407	0.68598	0.58879	0.6543	0.62569	0.61123	0.6235	0.35749	0.41347	
 SFG_PFC_L 	0.60952	0.35401	1	0.87083	0.89669	0.75235	0.65848	0.45554	0.51527	0.3552	0.35324	0.32113	0.51714	0.41703	0.42113	0.45974	0.60903	0.50875	0.35827	0.43842	0.6714	0.67655	0.08443	0.1707	0.16719	0.18888	0.15261	0.23587	0.14604	-0.15216	0.71106	0.46941	0.4045	0.25712	0.23966	0.22221	0.38012	0.31128	0.75243	0.59057	0.52942	0.52292	0.55015	0.48323	0.27664	0.27312	0.27676	0.22476	0.4435	0.22904	0.22907	0.24951	0.29658	0.25139	0.32198	0.29382	0.81888	0.62718	0.1304	0.16918	0.48399	0.40646	0.3696	0.34143	0.61488	0.49676	0.2452	0.12533	0.4384	0.52885	0.53755	0.58751	0.31141	0.19909	0.32138	0.16167	0.26148	0.30728	
 SFG_PFC_R 	0.57566	0.50137	0.87083	1	0.75863	0.83397	0.6171	0.67723	0.57534	0.5911	0.30759	0.50634	0.43441	0.54346	0.35731	0.51006	0.59705	0.6467	0.21806	0.36218	0.50751	0.54989	-0.082734	-0.015129	-0.012381	0.10841	0.15053	0.26786	0.14468	-0.045155	0.68924	0.69042	0.4602	0.48435	0.18794	0.13763	0.27682	0.34931	0.6592	0.62214	0.39902	0.51634	0.46898	0.5151	0.10537	0.1231	0.20402	0.11263	0.387	0.10086	0.051322	0.039475	0.24882	0.16649	0.27211	0.21254	0.77431	0.69336	0.065793	0.10641	0.4266	0.30542	0.3747	0.42438	0.59727	0.64124	0.16558	0.15431	0.54054	0.51947	0.57961	0.57895	0.32347	0.27473	0.37652	0.29072	0.33076	0.46073	
 SFG_pole_L 	0.50548	0.20774	0.89669	0.75863	1	0.77749	0.65046	0.45597	0.41055	0.2712	0.18884	0.20023	0.32581	0.22876	0.25727	0.26405	0.50575	0.36414	0.31773	0.38025	0.59105	0.59314	0.060262	0.2166	0.13437	0.09496	0.13103	0.22628	-0.095781	-0.29997	0.69155	0.47307	0.49856	0.30389	0.18232	0.17246	0.28078	0.21486	0.64736	0.57147	0.55014	0.50753	0.48224	0.39375	0.26094	0.25592	0.26181	0.21176	0.47241	0.26876	0.19273	0.24239	0.28921	0.21779	0.29355	0.24996	0.64364	0.48112	5.9257e-05	0.063447	0.43627	0.45552	0.20522	0.17059	0.70268	0.55589	0.038069	-0.05875	0.35124	0.46678	0.39797	0.42131	0.18008	0.10949	0.23759	0.074592	0.19455	0.2806	
 SFG_pole_R 	0.41801	0.22177	0.75235	0.83397	0.77749	1	0.48498	0.51158	0.40474	0.45176	0.064342	0.29913	0.2124	0.31916	0.088601	0.16312	0.61151	0.44532	0.31886	0.2942	0.49982	0.52382	-0.1948	-0.1058	-0.14065	-0.15361	0.021004	0.13999	-0.10675	-0.19178	0.66194	0.64007	0.43386	0.44906	0.043121	-0.020096	0.040224	0.095228	0.56753	0.51219	0.45794	0.46795	0.43405	0.45326	0.026815	-0.0041901	0.15399	0.007777	0.31789	0.047508	0.023846	-0.028674	0.12338	-0.024056	0.16468	0.052941	0.64421	0.64568	0.05014	0.062067	0.34864	0.32353	0.17708	0.24485	0.68676	0.69244	-0.039694	-0.1506	0.40344	0.34734	0.42892	0.4349	0.19997	0.19835	0.19249	0.14695	0.29615	0.33122	
 MFG_L 	0.73417	0.52376	0.65848	0.6171	0.65046	0.48498	1	0.78509	0.77918	0.64678	0.61124	0.61272	0.39514	0.24582	0.51566	0.50635	0.42408	0.5464	0.16858	0.40745	0.27012	0.28585	-0.13851	0.00084189	0.019103	0.12008	0.56365	0.41335	0.22581	0.019587	0.79117	0.71068	0.71357	0.54716	0.12878	0.061761	0.21446	0.21251	0.51349	0.51875	0.13459	0.49471	0.56971	0.63553	0.094737	0.094801	0.14588	-0.039514	0.45344	0.077522	-0.067601	0.029842	0.24129	0.13936	0.17953	0.15378	0.49293	0.35868	0.0034619	-0.006221	0.38362	0.22252	0.22752	0.21061	0.47828	0.44735	0.032254	0.10934	0.63556	0.68124	0.65307	0.63207	0.35475	0.3251	0.44378	0.33411	0.30445	0.43746	
 MFG_R 	0.57027	0.58685	0.45554	0.67723	0.45597	0.51158	0.78509	1	0.77206	0.87207	0.46882	0.75339	0.27467	0.3293	0.39313	0.53216	0.39557	0.63535	0.034275	0.32675	0.052651	0.13555	-0.25165	-0.13452	-0.13239	0.052253	0.51028	0.43306	0.23228	0.12355	0.67028	0.89886	0.6539	0.73765	0.087942	-0.003617	0.089216	0.23709	0.32082	0.50284	0.049415	0.40616	0.40844	0.56842	-0.13197	-0.057165	-0.022581	-0.16634	0.27293	-0.037154	-0.21646	-0.13163	0.086624	-0.00605	0.022962	-0.0016685	0.34776	0.3276	-0.030996	-0.040796	0.29491	0.086984	0.11345	0.17957	0.35389	0.51377	-0.044556	0.088484	0.59401	0.5157	0.61994	0.52036	0.23842	0.2622	0.38471	0.37033	0.19692	0.44943	
 MFG_DPFC_L 	0.64703	0.59857	0.51527	0.57534	0.41055	0.40474	0.77918	0.77206	1	0.81089	0.51338	0.63513	0.37461	0.31281	0.49227	0.51333	0.55793	0.62209	0.31259	0.52522	0.30694	0.33857	-0.20484	-0.067698	-0.04089	0.16828	0.58367	0.41478	0.48692	0.32861	0.69686	0.72677	0.60046	0.54828	0.079205	0.068944	0.14158	0.28834	0.32561	0.41979	-0.075148	0.3881	0.55615	0.67428	0.0081521	0.010605	-0.0527	-0.21617	0.24745	-0.080197	-0.19783	-0.089416	-0.0010322	-0.098927	0.0045223	-0.032341	0.43567	0.35303	0.12622	0.080019	0.41741	0.22262	0.3263	0.35164	0.29721	0.34829	0.19402	0.22206	0.65096	0.57641	0.72047	0.63285	0.32421	0.33195	0.4385	0.43157	0.31131	0.48183	
 MFG_DPFC_R 	0.51996	0.64973	0.3552	0.5911	0.2712	0.45176	0.64678	0.87207	0.81089	1	0.38726	0.67151	0.22403	0.31056	0.3386	0.44365	0.4974	0.69777	0.10262	0.34182	0.03359	0.14206	-0.27227	-0.21745	-0.16042	0.080239	0.50439	0.47059	0.37388	0.36554	0.54208	0.80068	0.42809	0.62689	0.065622	-0.02411	0.034834	0.21262	0.19442	0.34364	-0.072018	0.29485	0.37644	0.59858	-0.20171	-0.099297	-0.030398	-0.19513	0.1162	-0.10582	-0.18582	-0.11178	-0.04484	-0.13092	-0.056381	-0.078168	0.33491	0.37102	0.026262	-0.050345	0.27391	0.023155	0.23003	0.31129	0.09707	0.30845	0.051274	0.21339	0.60157	0.44568	0.6613	0.55226	0.31406	0.36808	0.4086	0.44991	0.22154	0.40573	
 IFG_opercularis_L 	0.53872	0.38962	0.35324	0.30759	0.18884	0.064342	0.61124	0.46882	0.51338	0.38726	1	0.68604	0.64483	0.36871	0.76667	0.65405	0.17227	0.33521	0.075248	0.20966	0.03686	0.081637	-0.029138	-0.022077	0.11748	0.21597	0.49373	0.25002	0.43626	0.20962	0.40474	0.36452	0.29029	0.19105	0.23133	0.15794	0.24998	0.27764	0.38211	0.27357	-0.035446	0.21362	0.35671	0.45183	0.092884	0.047966	0.080428	-0.047357	0.19516	0.0025826	-0.13943	-0.068951	0.11993	0.11191	0.10035	0.13802	0.29315	0.13851	0.10404	0.15124	0.11697	-0.064724	0.15725	0.13878	0.061903	0.088176	0.30919	0.27573	0.4795	0.44965	0.52856	0.52421	0.40992	0.34173	0.44374	0.33152	0.10816	0.1246	
