Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

kirby815b_3_1_ax_MNI.img	Telencephalon_L	675240	26.7762	245.6563	150.5713	45.5562	
kirby815b_3_1_ax_MNI.img	Telencephalon_R	682264	24.3589	238.4190	152.7875	44.0819	
kirby815b_3_1_ax_MNI.img	Diencephalon_L	12916	96.4950	243.6569	179.8124	20.3937	
kirby815b_3_1_ax_MNI.img	Diencephalon_R	13021	90.3343	243.7940	178.4234	19.6794	
kirby815b_3_1_ax_MNI.img	Mesencephalon	14985	95.9489	253.3979	204.7232	16.0961	
kirby815b_3_1_ax_MNI.img	Metencephalon	202341	33.5567	243.1495	149.4696	40.1406	
kirby815b_3_1_ax_MNI.img	Myelencephalon	6161	60.2919	238.5533	196.5334	23.0302	
kirby815b_3_1_ax_MNI.img	CSF	86684	3.0462	202.1716	67.7380	26.2808	



Type1-L2 Statistics

kirby815b_3_1_ax_MNI.img	CerebralCortex_L	357348	26.7762	204.1399	112.7963	23.6416	
kirby815b_3_1_ax_MNI.img	CerebralCortex_R	355246	24.3589	217.3628	115.6044	22.6151	
kirby815b_3_1_ax_MNI.img	CerebralNucli_L	16596	73.7473	233.7392	162.4045	24.5462	
kirby815b_3_1_ax_MNI.img	CerebralNucli_R	17336	70.1371	234.0507	162.1631	24.3051	
kirby815b_3_1_ax_MNI.img	Thalamus_L	8845	103.4079	217.9047	178.5939	15.9416	
kirby815b_3_1_ax_MNI.img	Thalamus_R	9075	104.4085	225.1048	177.9967	16.0665	
kirby815b_3_1_ax_MNI.img	BasalForebrain_L	4071	96.4950	243.6569	182.4599	27.5160	
kirby815b_3_1_ax_MNI.img	BasalForebrain_R	3946	90.3343	243.7940	179.4045	26.1325	
kirby815b_3_1_ax_MNI.img	Mesencephalon_L	7532	128.0207	249.7482	205.9009	14.8437	
kirby815b_3_1_ax_MNI.img	Mesencephalon_R	7453	95.9489	253.3979	203.5330	17.1879	
kirby815b_3_1_ax_MNI.img	Metencephalon_R	101632	41.8873	236.6586	150.9458	39.0810	
kirby815b_3_1_ax_MNI.img	Metencephalon_L	100709	33.5567	243.1495	147.9798	41.1286	
kirby815b_3_1_ax_MNI.img	Myelencephalon_L	2978	60.2919	238.5533	193.5826	26.2891	
kirby815b_3_1_ax_MNI.img	Myelencephalon_R	3183	94.2840	237.4212	199.2941	19.0852	
kirby815b_3_1_ax_MNI.img	WhiteMatter_L	301296	60.6772	245.6563	194.7220	17.4829	
kirby815b_3_1_ax_MNI.img	WhiteMatter_R	309682	40.9749	238.4190	194.9165	17.1926	
kirby815b_3_1_ax_MNI.img	Ventricle	15884	3.0462	202.1716	80.1526	42.0534	
kirby815b_3_1_ax_MNI.img	Sulcus_L	37233	4.4882	127.5456	63.2206	20.7464	
kirby815b_3_1_ax_MNI.img	Sulcus_R	33567	3.7165	139.1583	66.8740	19.3142	



Type1-L3 Statistics

kirby815b_3_1_ax_MNI.img	Frontal_L	120603	33.5649	199.7760	108.5679	24.6550	
kirby815b_3_1_ax_MNI.img	Frontal_R	112872	25.9221	196.9754	111.5760	23.0012	
kirby815b_3_1_ax_MNI.img	Parietal_L	55341	38.7980	195.9445	112.0124	23.0082	
kirby815b_3_1_ax_MNI.img	Parietal_R	59816	24.3589	194.2966	111.6004	22.0267	
kirby815b_3_1_ax_MNI.img	Temporal_L	82474	32.8249	202.4409	112.0606	21.2600	
kirby815b_3_1_ax_MNI.img	Temporal_R	83137	37.5994	198.9803	117.2803	20.2581	
kirby815b_3_1_ax_MNI.img	Limbic_L	37615	44.6098	204.1399	124.2777	22.5762	
kirby815b_3_1_ax_MNI.img	Limbic_R	41354	32.3312	217.3628	123.5568	23.1153	
kirby815b_3_1_ax_MNI.img	Occipital_L	55468	26.7762	193.5257	116.6104	23.9527	
kirby815b_3_1_ax_MNI.img	Occipital_R	52099	36.7012	204.1793	120.0779	23.6205	
kirby815b_3_1_ax_MNI.img	Insula_L	8316	37.4576	180.7155	117.3413	18.3487	
kirby815b_3_1_ax_MNI.img	Insula_R	9169	52.3401	187.3370	124.9293	19.2502	
kirby815b_3_1_ax_MNI.img	BasalGang_L	14127	73.7473	233.7392	166.3178	24.1694	
kirby815b_3_1_ax_MNI.img	BasalGang_R	14135	70.1371	234.0507	166.1601	24.5002	
kirby815b_3_1_ax_MNI.img	Thalamus_L	8845	103.4079	217.9047	178.5939	15.9416	
