	 SFG_L 	 SFG_R 	 SFG_PFC_L 	 SFG_PFC_R 	 SFG_pole_L 	 SFG_pole_R 	 MFG_L 	 MFG_R 	 MFG_DPFC_L 	 MFG_DPFC_R 	 IFG_opercularis_L 	 IFG_opercularis_R 	 IFG_orbitalis_L 	 IFG_orbitalis_R 	 IFG_triangularis_L 	 IFG_triangularis_R 	 LFOG_L 	 LFOG_R 	 MFOG_L 	 MFOG_R 	 RG_L 	 RG_R 	 PoCG_L 	 PoCG_R 	 PrCG_L 	 PrCG_R 	 SPG_L 	 SPG_R 	 SMG_L 	 SMG_R 	 AG_L 	 AG_R 	 PrCu_L 	 PrCu_R 	 STG_L 	 STG_R 	 STG_L_pole 	 STG_R_pole 	 MTG_L 	 MTG_R 	 MTG_L_pole 	 MTG_R_pole 	 ITG_L 	 ITG_R 	 FuG_L 	 FuG_R 	 SOG_L 	 SOG_R 	 MOG_L 	 MOG_R 	 IOG_L 	 IOG_R 	 Cu_L 	 Cu_R 	 LG_L 	 LG_R 	 rostral_ACC_L 	 rostral_ACC_R 	 subcallosal_ACC_L 	 subcallosal_ACC_R 	 subgenual_ACC_L 	 subgenual_ACC_R 	 dorsal_ACC_L 	 dorsal_ACC_R 	 PCC_L 	 PCC_R 	 Insula_L 	 Insula_R 	 CerebellumGM_L 	 CerebellumGM_R 	 Caud_L 	 Caud_R 	 Put_L 	 Put_R 	 GP_L 	 GP_R 	 Thalamus_L 	 Thalamus_R 	
 SFG_L 	Inf	1.3296	0.18496	0.17889	-0.18174	-0.072945	0.32607	0.17044	-0.037401	0.074164	0.61128	0.38058	0.228	0.29434	0.33455	0.48181	0.052741	-0.043555	-0.19797	-0.10301	-0.18311	-0.10628	0.20337	0.099332	0.62638	0.60249	0.60983	0.52315	0.45961	0.43662	0.0037956	0.038023	-0.071559	0.0046843	0.43558	0.28937	-0.0089869	0.072105	0.27865	0.385	0.20681	0.070407	0.31974	0.37811	0.25696	0.20034	0.18861	0.10223	0.31802	0.25952	0.63614	0.56481	-0.055103	-0.08897	-0.14044	-0.14249	0.080175	0.20318	0.112	0.19968	-0.14886	0.10451	0.6458	0.53884	-0.16274	-0.074508	0.29175	0.28055	0.38381	0.32764	-0.088478	-0.11059	0.1773	0.3233	0.22552	0.23616	0.05413	-0.023619	
 SFG_R 	1.3296	Inf	0.22996	0.24475	-0.14256	-0.0056297	0.24908	0.26077	-0.045347	0.11332	0.48868	0.40885	0.18934	0.42615	0.29358	0.54985	-0.034677	0.0071983	-0.010838	0.099367	-0.079834	0.053211	0.18497	0.15345	0.51657	0.57037	0.48315	0.51059	0.43156	0.52705	-0.1256	-0.036217	-0.0098545	0.14202	0.39158	0.26823	-0.11317	-0.035987	0.24214	0.4029	0.26377	0.067196	0.2493	0.33224	0.23424	0.23405	0.24197	0.19533	0.31864	0.27363	0.59657	0.6697	-0.0079583	0.02061	-0.052416	-0.015023	0.20734	0.36659	0.13228	0.23032	-0.11428	0.29747	0.61928	0.64932	-0.14423	0.095975	0.26868	0.25874	0.38302	0.30595	-0.014423	-0.01013	0.23038	0.33715	0.14679	0.14018	0.031939	-0.008337	
 SFG_PFC_L 	0.18496	0.22996	Inf	1.5553	0.61189	0.94969	1.0098	0.77588	0.2694	0.32767	0.27352	0.4776	0.8726	0.97253	0.85796	0.78918	0.50251	0.43024	0.53186	0.37902	0.13842	0.55965	-0.14623	-0.10853	-0.14246	0.050149	-0.16231	-0.16584	0.030709	0.11756	0.70746	0.57949	-0.060616	-0.075254	0.5472	0.40592	0.025318	0.1871	1.1361	1.1359	0.55026	0.48721	0.51857	0.72488	0.24699	0.17973	-0.25517	-0.087775	0.14812	0.28214	0.20057	0.28618	-0.15973	-0.16759	-0.13736	-0.12353	0.62886	0.5623	0.11568	-0.018313	0.088655	0.16798	-0.18279	-0.15165	0.63654	0.66881	-0.018161	0.040151	0.33302	0.31921	0.17742	0.219	0.024482	-0.025949	0.21183	0.042802	-0.013976	0.032272	
 SFG_PFC_R 	0.17889	0.24475	1.5553	Inf	0.52563	0.9723	0.96461	1.044	0.27106	0.42955	0.30535	0.55481	0.76781	1.0539	0.81185	0.77898	0.4531	0.5147	0.48142	0.42958	0.17602	0.57336	-0.18722	-0.19181	-0.18036	-0.098358	-0.067312	-0.15234	0.11712	0.15291	0.65074	0.60553	-0.13487	-0.15515	0.36383	0.24259	0.070719	0.11795	1.0943	1.2665	0.55878	0.56228	0.64988	0.71768	0.18973	0.090859	-0.26794	-0.12561	0.13517	0.23979	0.20205	0.2415	-0.23568	-0.25339	-0.24531	-0.24437	0.49544	0.5934	0.13275	0.032251	0.10111	0.16945	-0.20561	-0.1896	0.4532	0.50895	-0.052504	-0.040063	0.30961	0.29349	0.13976	0.22367	-0.029083	-0.092113	0.13217	-0.060072	-0.097322	-0.045024	
 SFG_pole_L 	-0.18174	-0.14256	0.61189	0.52563	Inf	1.0293	0.47543	0.21202	0.5425	0.4038	-0.098574	0.18198	0.2631	0.28794	0.15338	0.135	0.55839	0.56662	0.49805	0.46032	0.59024	0.67579	-0.041247	0.091092	-0.2779	-0.069795	-0.25062	-0.17042	-0.062016	0.019427	0.74029	0.43255	0.27757	0.18939	0.18193	0.15647	-0.024227	-0.0068003	0.28877	0.26451	0.042947	0.078123	0.14691	0.45531	-0.041146	-0.036448	-0.10387	-0.037403	-0.12848	-0.065214	-0.20113	-0.13743	0.047579	-0.019697	0.032671	-0.019003	0.73346	0.64242	0.1699	0.081776	0.11936	0.17294	-0.11175	-0.16837	0.88029	0.51075	-0.084167	-0.076848	0.07027	0.11084	0.17753	0.1571	-0.15872	-0.14747	0.083783	0.010491	0.19526	0.20558	
 SFG_pole_R 	-0.072945	-0.0056297	0.94969	0.9723	1.0293	Inf	0.5526	0.51431	0.35789	0.54092	-0.039777	0.26933	0.38538	0.47564	0.3518	0.36176	0.52728	0.51698	0.46456	0.44593	0.48892	0.7566	-0.020826	-0.011736	-0.22422	-0.10083	-0.29702	-0.24905	0.0032165	0.16543	0.57277	0.4342	0.17049	0.090575	0.33291	0.30272	-0.066404	0.010287	0.55899	0.56633	0.18143	0.2695	0.23867	0.52367	-0.094333	-0.14399	-0.18456	-0.11177	-0.12508	-0.089468	-0.044813	0.084996	-0.059479	-0.12891	-0.094147	-0.12607	0.68505	0.75116	0.2356	0.092037	0.081577	0.15969	-0.22321	-0.19347	0.83742	0.68455	-0.00070028	-0.0094379	0.19603	0.19015	0.12744	0.19053	-0.018915	-0.06574	0.18696	0.012251	0.15885	0.18539	
 MFG_L 	0.32607	0.24908	1.0098	0.96461	0.47543	0.5526	Inf	0.91462	0.43027	0.40429	0.64387	0.87752	0.80064	0.67071	1.0262	0.60717	0.39513	0.47308	0.33962	0.23315	-0.015838	0.29161	-0.22473	-0.17776	-0.15892	-0.0027619	0.021511	-0.046603	0.15642	0.20289	0.95298	0.89133	-0.16269	-0.15409	0.41576	0.27037	0.1572	0.18758	1.0673	1.0064	0.41249	0.41532	0.78983	0.76065	0.37348	0.21564	-0.33227	-0.174	0.19683	0.33639	0.24842	0.17277	-0.20013	-0.25258	-0.22424	-0.24956	0.3023	0.39858	-0.049673	-0.073458	0.0708	0.20748	-0.14461	-0.18888	0.38925	0.33701	-0.094179	-0.046595	0.29022	0.24951	0.28103	0.25296	-0.17139	-0.14921	0.20164	-0.068267	-0.049573	-0.046293	
 MFG_R 	0.17044	0.26077	0.77588	1.044	0.21202	0.51431	0.91462	Inf	0.32803	0.67153	0.4391	0.90984	0.52755	0.63175	0.78179	0.63061	0.28468	0.50271	0.37725	0.28692	-0.096806	0.22423	-0.20205	-0.26509	-0.2214	-0.20998	0.051268	-0.073972	0.16861	0.25049	0.47126	0.74619	-0.11888	-0.029085	0.16934	0.054948	0.055714	-0.043954	0.86176	0.8876	0.39712	0.47314	0.70754	0.51791	0.28803	0.17337	-0.18324	-0.0086814	0.29041	0.37732	0.21902	0.18457	-0.080375	-0.1043	-0.12125	-0.10301	0.10581	0.32384	-0.11169	-0.029678	0.060977	0.29429	-0.27487	-0.22452	0.23788	0.38476	-0.14879	-0.03806	0.41085	0.33542	0.32973	0.36131	-0.080869	-0.10808	0.097752	-0.14078	-0.23887	-0.15001	
 MFG_DPFC_L 	-0.037401	-0.045347	0.2694	0.27106	0.5425	0.35789	0.43027	0.32803	Inf	0.90051	0.21248	0.29353	0.12838	0.082527	0.18857	0.020245	0.33175	0.32983	0.11749	0.038041	0.05292	0.12082	-0.058653	-0.015733	-0.29497	-0.11968	-0.053861	-0.0596	0.094478	0.040363	0.59916	0.53306	0.7057	0.57898	0.10915	0.091397	0.0021885	-0.084399	0.21442	0.1366	0.13555	0.17597	0.13048	0.1055	0.17853	0.10612	0.11866	0.26644	0.19878	0.18928	-0.13061	-0.12283	0.30363	0.24023	0.28	0.24132	0.28806	0.30996	-0.14308	-0.099546	-0.008365	0.037844	-0.11333	-0.1643	0.50556	0.38017	-0.05899	0.012118	0.14188	0.2289	0.20453	0.24063	-0.039394	0.067845	0.083833	-0.062387	0.019486	0.03289	
 MFG_DPFC_R 	0.074164	0.11332	0.32767	0.42955	0.4038	0.54092	0.40429	0.67153	0.90051	Inf	0.2084	0.58781	0.11143	0.15429	0.24994	0.16746	0.31905	0.47364	0.18113	0.12286	0.061284	0.16519	-0.023935	-0.16613	-0.21849	-0.22981	0.078243	0.02349	0.26595	0.30945	0.42952	0.63349	0.46261	0.50645	0.016059	-0.022984	-0.21696	-0.37508	0.32569	0.24973	-0.0123	0.10641	0.19624	0.13409	-0.048794	-0.099476	0.087613	0.18749	0.12712	0.07512	-0.02951	0.01608	0.18973	0.099585	0.072462	0.066431	0.17424	0.41008	-0.14667	-0.046314	-0.070087	0.082906	-0.11689	-0.077949	0.41465	0.38418	-0.13908	0.026243	0.22165	0.21967	0.16725	0.34205	-0.0062526	0.10231	0.077613	-0.039975	-0.075013	-0.060838	
