Row,volume,FA,E1,E2,E3
SUPERIOR PARIETAL left,10160.7528211414,0.459883391857147,0.00106321251951158,0.000620319973677397,0.00039000078686513
CINGULATE  left,7297.33651015013,0.343583315610886,0.00101310980971903,0.000709463376551867,0.000496708846185356
SUPERIOR FRONTAL  left,16795.7923025639,0.405970364809036,0.00111905625090003,0.000726367230527103,0.000465319550130516
MIDDLE FRONTAL  left,10806.4547079192,0.390595406293869,0.00108617194928229,0.000704362231772393,0.000472293177153915
INFERIOR FRONTAL  left,11390.301974702,0.427505522966385,0.00112671020906419,0.000708824140019715,0.000444922596216202
PRECENTRAL  left,14377.4275256834,0.448524534702301,0.00110066565684974,0.000661504222080112,0.000410209351684898
POSTCENTRAL  left,7443.67548916286,0.420008271932602,0.000953206967096776,0.000615332333836704,0.000392183108488098
ANGULAR  left,2747.25031734203,0.430646657943726,0.00104167999234051,0.000614230229984969,0.00040959517355077
PRE-CUNEUS left,2246.37876030877,0.36284875869751,0.000906486995518208,0.000611518393270671,0.000427159044193104
CUNEUS left,3242.08727730259,0.381305158138275,0.00100340286735445,0.000652854330837727,0.000450317340437323
LINGUAL  left,5298.37622982164,0.386051654815674,0.00105295900721103,0.000683375226799399,0.000472123676445335
FUSIFORM  left,7579.45392329838,0.359308749437332,0.00103650789242238,0.000719345232937485,0.00048565844190307
PARAHIPPOCAMPAL  left,245.909830712109,0.357906192541122,0.000880501233041286,0.00062044127844274,0.000427129649324343
SUPERIOR OCCIPITAL  left,1759.08504668907,0.448601126670837,0.00110936921555549,0.000661603757180274,0.000414611480664462
INFERIOR OCCIPITAL left,2609.96323393833,0.39360973238945,0.00108448683749884,0.000707968778442591,0.000468418176751584
MIDDLE OCCIPITAL left,5434.15466395716,0.385207533836365,0.00105547846760601,0.000675201590638608,0.000472676678327844
ENTORHINAL AREA left,419.40449655194,0.329799026250839,0.00116879225242883,0.000844167487230152,0.000588984461501241
SUPERIOR TEMPORAL left,9934.45543091556,0.376738488674164,0.00109674630220979,0.000741690921131521,0.000493420287966728
